mal_id,title_english,title_japanese,synonyms,media_type,status,num_episodes,start_date,mean,rank,popularity,num_scoring_users,members,source,rating,studios,genres,themes,synopsis
40960,Drug Store in Another World: The Slow Life of a Cheat Pharmacist,チート薬師のスローライフ～異世界に作ろうドラッグストア～,Cheat Pharmacist's Slow Life: Making a Drugstore in Another World,tv,finished_airing,12,2021-07-07,6.44,8280,1632,64620,166244,light_novel,pg_13,EMT Squared,Comedy|Fantasy|Isekai|Medical,Isekai,"Reiji Kirio, formerly a corporate slave, wakes up one day in another world. After discovering that he has gained superhuman pharmaceutical knowledge, he decides to open up a drugstore alongside the canine Noera and the ghostly Mina. There, he tends to the needs of all who visit the shop with potions and the like.

Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore follows the slow but often hectic days of Reiji's drugstore.

[Written by MAL Rewrite]"
16385,Dog Days'',ドッグデイズ'',Dog Days 3,tv,finished_airing,12,2015-01-11,6.86,5615,2770,35782,78823,original,pg_13,Seven Arcs Pictures,Action|Adventure|Fantasy|Isekai,Isekai,"Cinque Izumi, Nanami Takatsuki, and Rebecca Anderson must once again embark on a journey to the continent of Flonyard and participate in the friendly war games of the three allied nations: Biscotti Republic, Galette, and Pastilage. Cinque is Biscotti’s hero, who also happens to be the cousin of Galette’s hero Nanami. Rebecca is Pastillage’s hero and a dear friend of Cinque.

Dog Days'' begins in the human world. Rebecca prepares her things for her journey back to Pastilage from Japan. Meanwhile, Cinque and Nanami set out to travel to Biscotti and Galette, respectively, all the way from England, when suddenly, a freakish streak of bad luck—in the form of lightning, of course—sends them off course. They soon find themselves in the great Dragon Forest, protected by a Dragon Priestess named Sharu. The Dragon Priestess informs them that demons threaten to invade the forest, as well as the whole continent of Flonyard!

It looks like a real war is about to begin in Dog Days''. Can these three heroes save the whole continent from these evil beings?"
62469,Possibly the Greatest Alchemist of All Time Season 2,いずれ最強の錬金術師？ 2期,Someday Will I Be the Greatest Alchemist? Season 2,tv,not_yet_aired,0,N/A,,,6265,0,14224,light_novel,pg_13,N/A,Adventure|Fantasy|Isekai,Isekai,Second season of Izure Saikyou no Renkinjutsushi?.
2053,Capricorn,カプリコン,N/A,ova,finished_airing,1,1991-04-05,5.62,12709,9690,1983,4752,manga,pg_13,Aubeck,Adventure|Comedy|Fantasy|Isekai|Sci-Fi|Shoujo,Isekai,"In the blink of an eye, high school student Taku Shimamura finds himself transported to the bizarre world of Slaffleaze, where intelligent creatures govern and the ruling class, led by the villainous Zolba, is plotting the invasion of the world they know as Capricorn, the Earth. Joining together with the oppressed Slaffleaze peasants, Taku must find a way to stop Zolba`s dark forces before the way to the unsuspecting Earth is opened. In order to do so, he must first gain the love and trust of the last of the Yappie, the ancestral guardians of Slaffeaze. This is a task that will take more than a little courage and daring, for the last Yappie is not just a cute young female, she`s also a dragon.

(Source: ANN)"
2054,Carol,CAROL,Carol: A Day In A Girl's Life,ova,finished_airing,1,1990-03-21,5.2,13946,11777,1062,2599,novel,pg_13,animate Film|Magic Bus,Fantasy|Isekai|Reverse Harem,Isekai,"Carol is the tale of a teenage girl whose life seems normal enough until she notices music disappearing from all around her, such as the sound of Big Ben, her father`s cello-playing, and the concert of her favorite band, Gaball Screen. After hearing some mysterious voices, Carol is transported to a fantastic world where she must fight against the evil monsters who are stealing the music from Earth. She meets and is assisted by three dashing heroes: Clark, Tico, and Flash.

(Source: AniDB)"
60425,0 Years Old Child Starting Dash Story Season 2,0歳児スタートダッシュ物語 シーズン2,Head Start at Birth Season 2,tv,finished_airing,12,2025-01-05,5.58,12858,9449,1361,5128,manga,pg_13,N/A,Adventure|Fantasy|Isekai|Reincarnation,Isekai|Reincarnation,"After reincarnating from her previous life as an office worker and avid gamer, Lilia Carol grew and gained friends in her new world. During her fifth birthday, she met the handsome Elk von Luxel, who left her entranced. She normally has no issue maintaining her composure, but his presence manages to distract Lilia from her usual magic practice. As their paths continue to cross, a friendship blooms between them.

[Written by MAL Rewrite]"
40974,Kuma Kuma Kuma Bear,くま クマ 熊 ベアー,The Bears Bear a Bare Kuma,tv,finished_airing,12,2020-10-07,7.23,3564,1471,93258,187578,light_novel,pg_13,EMT Squared,Adventure|Comedy|Fantasy|Isekai,Isekai,"After fanatically playing the VRMMO World Fantasy Online for almost a year, the shut-in yet relatively affluent 15-year-old Yuna receives a bear costume from the game's administrators. The outfit, while somewhat embarrassing to wear, turns out to have overpowered stats and effects that make her character significantly more powerful. After accepting the bear equipment, she finds herself transported to another in-game world that prevents her from returning to reality.

Confused and unable to log out, Yuna sets out to explore this new environment. She rescues a girl named Fina from wild wolves, who then guides her to the city of Crimonia. With her eccentric bear attire, however, Yuna stands out wherever she goes, and alongside her boosted fighting prowess, her reputation quickly rises—to the point that people give her the nickname ""Bloody Bear.""

Undeterred by this change in her life, Yuna decides to take on the role of an adventurer and fully enjoy herself in her new world.

[Written by MAL Rewrite]"
53263,The Great Cleric,聖者無双,The Great Cleric: A Salaryman's Path to Surviving Another World,tv,finished_airing,12,2023-07-07,7.11,4310,1794,75823,148177,light_novel,pg_13,Yokohama Animation Lab|Cloud Hearts,Adventure|Comedy|Fantasy|Isekai|Reincarnation,Isekai|Reincarnation,"Right as he is about to earn a promotion, a salaryman meets an untimely demise. Taking pity, a mysterious being grants him a second life in the land of Galdardia as a teenager. Choosing the name Luciel for himself and a role as a healer, the young man sets off for the nearby town of Merratoni. There, he learns that healers are a coveted resource, yet they often take advantage of others for monetary gain. Vowing to be different from other healers, he joins the local branch of the Healers' Guild and begins unlocking his magical potential.

After failing to save someone with his magic, Luciel is determined to get stronger. To improve his physical strength and hone his magic skills, he registers as an adventurer and takes rigorous training under Brod, the chief instructor of the Adventurers' Guild. Soon, Luciel gradually finds his way through Galdardia, gaining a reputation as a selfless healer who aids others regardless of expense.

[Written by MAL Rewrite]"
51215,The Saint's Magic Power is Omnipotent Season 2,聖女の魔力は万能です Season2,Seijo no Maryoku wa Bannou desu 2nd Season|The power of the saint is all around Season 2,tv,finished_airing,12,2023-10-03,7.46,2354,2252,45285,108291,light_novel,pg_13,Diomedéa,Adult Cast|Fantasy|Isekai|Romance,Isekai,"The king of Slantania has officially appointed Sei Takanashi as the Holy Saint—an omnipotent maiden summoned from another world to save the kingdom. After months of relentless fighting against monsters, Sei can finally relax and continue her study at the Medicinal Flora Research Institute. Although her relationship with Albert Hawke, the commander of the Third Order of Knights, gradually blossoms, her bachelorette status attracts unwanted attention from other men—much to Albert's dismay.

Moreover, Tenyuu—one of the many princes from the faraway Zaidera Empire—has taken an interest in Slantania and its powerful healing potions. Given that Sei's identity is a national secret, she must lay low in the royal palace until Tenyuu satisfies his curiosity at the institute and returns to his country. Despite his unimpressive appearance, the foreign prince is far from clueless. He has come to Slantania for a clear reason, and Sei's unique skills may just hold the answer to his cryptic research.

[Written by MAL Rewrite]"
63503,Isekai no Sata wa Shachiku Shidai: Omoi wo Hasemashita,異世界の沙汰は社畜次第 OVA 「思いを馳せました」,Isekai Office Worker: The Other World's Books Depend on the Bean Counter Special,special,not_yet_aired,1,2026-05-27,,,10429,1,3796,light_novel,pg_13,Studio Deen,Adult Cast|Boys Love|Fantasy|Isekai,Isekai,Special episode included in Blu-ray & DVD volume 3 of Isekai no Sata wa Shachiku Shidai.
